# 	prediction  |		 gt all 		|		 gt small 		|		gt medium 		|	 gt large
# ID	SIZE	| ID	SIZE	IoU	| ID	SIZE	IoU	| ID	SIZE	IoU	| ID	SIZE	IoU 	
# ------------------------------------------------------------------------------------------------------------
2	8149	3766	10260	0.7747	0	   0	0.0000		3766	10260	0.7747	0	   0	0.0000
10	8031	11845	11180	0.7182	0	   0	0.0000		11845	11180	0.7182	0	   0	0.0000
1	24520	3842	33225	0.7319	0	   0	0.0000		0	   0	0.0000	3842	33225	0.7319
3	4669	3863	7095	0.6581	0	   0	0.0000		3863	7095	0.6581	0	   0	0.0000
6	14679	3875	15689	0.5865	0	   0	0.0000		3729	5963	0.1955	3875	15689	0.5865
11	10266	3246	13193	0.6420	0	   0	0.0000		3246	13193	0.6420	0	   0	0.0000
9	3726	4827	9517	0.3845	0	   0	0.0000		4827	9517	0.3845	0	   0	0.0000
5	6022	0	   0	0.0000	0	   0	0.0000		0	   0	0.0000	0	   0	0.0000
4	1919	0	   0	0.0000	0	   0	0.0000		0	   0	0.0000	0	   0	0.0000
8	 135	4827	9517	0.0140	0	   0	0.0000		4827	9517	0.0140	0	   0	0.0000
